Emp_Id;satisfaction_level;last_evaluation;number_project;average_montly_hours;time_spend_company;Work_accident;left;promotion_last_5years;Department;salary
IND30334;0,10;0,83;6;295;4;0;1;0;product_mng;medium
IND36638;0,40;0,54;2;137;3;0;1;0;marketing;medium
IND10308;0,43;0,56;2;157;3;0;1;0;sales;low
IND35179;0,39;0,56;2;142;3;0;1;0;accounting;low
IND09604;0,45;0,54;2;140;3;0;1;0;support;low
IND04427;0,38;0,49;2;151;3;0;1;0;technical;low
IND16967;0,79;0,59;4;139;3;0;1;1;management;low
IND34303;0,84;0,85;4;249;6;0;1;0;marketing;low
IND37496;0,11;0,77;6;291;4;0;1;0;marketing;low
IND10898;0,11;0,87;6;305;4;0;1;0;marketing;low
IND36692;0,17;0,84;5;232;3;0;1;0;sales;low
IND19455;0,44;0,45;2;132;3;0;1;0;sales;low
IND27490;0,37;0,57;2;130;3;0;1;0;sales;low
IND17538;0,10;0,79;6;291;4;0;1;0;sales;low
IND24185;0,40;0,50;2;130;3;0;1;0;sales;low
IND36961;0,89;1,00;5;246;5;0;1;0;sales;low
IND02719;0,42;0,48;2;143;3;0;1;0;sales;low
IND05615;0,46;0,55;2;129;3;0;1;0;sales;low
IND09082;0,09;0,83;6;255;4;0;1;0;sales;low
IND24961;0,37;0,51;2;155;3;0;1;0;sales;low
IND27342;0,10;0,77;6;265;4;0;1;0;sales;low
IND27994;0,10;0,84;6;279;4;0;1;0;sales;low
IND10485;0,11;0,97;6;284;4;0;1;0;sales;low
IND16337;0,90;1,00;5;221;6;0;1;0;sales;medium
IND07521;0,38;0,52;2;154;3;0;1;0;sales;medium
IND10328;0,36;0,52;2;147;3;0;1;0;sales;medium
IND32485;0,42;0,46;2;150;3;0;1;0;sales;medium
IND34746;0,09;0,94;7;267;4;0;1;0;sales;medium
IND36536;0,43;0,52;2;158;3;0;1;0;sales;medium
IND06361;0,24;0,46;7;224;5;0;1;0;accounting;medium
IND12562;0,91;1,00;4;257;5;0;1;0;accounting;medium
IND22820;0,44;0,50;2;148;3;0;1;0;accounting;medium
IND27386;0,71;0,87;3;177;4;0;1;0;hr;medium
IND39001;0,40;0,49;2;155;3;0;1;0;hr;medium
IND04678;0,43;0,47;2;144;3;0;1;0;hr;medium
IND23073;0,09;0,85;6;289;4;0;1;0;hr;high
IND30104;0,43;0,52;2;160;3;0;1;0;technical;low
IND15117;0,90;0,96;4;258;5;0;1;0;technical;medium
IND38017;0,84;1,00;5;234;5;0;1;0;technical;medium
IND06875;0,37;0,48;2;137;3;0;1;0;technical;medium
IND21577;0,86;0,68;5;263;2;0;1;0;technical;medium
IND26914;0,11;0,84;6;251;4;0;1;0;technical;low
IND15804;0,37;0,57;2;133;3;0;1;0;technical;low
IND40954;0,40;0,46;2;132;3;0;1;0;technical;low
IND35990;0,14;0,62;4;158;4;1;1;0;technical;low
IND37669;0,40;0,46;2;135;3;0;1;0;technical;low
IND36618;0,75;1,00;4;216;6;0;1;0;technical;low
IND05008;0,11;0,84;6;300;5;1;1;0;support;low
IND03262;0,46;0,49;2;138;3;0;1;0;support;low
IND11117;0,11;0,92;6;260;4;0;1;0;support;low
IND28138;0,38;0,49;2;132;3;0;1;0;support;low
IND37226;0,70;0,89;3;183;5;0;1;0;support;low
IND0521;0,09;0,82;6;250;4;0;1;0;support;low
IND13372;0,37;0,45;2;151;3;0;1;0;support;low
IND17302;0,10;0,83;6;292;4;0;1;0;support;low
IND17471;0,38;0,57;2;140;3;0;1;0;support;low
IND0881;0,90;1,00;5;221;5;0;1;0;support;low
IND32175;0,44;0,51;2;138;3;0;1;0;support;low
IND39036;0,36;0,50;2;132;3;0;1;0;technical;low
IND04634;0,31;0,84;7;133;5;0;1;0;technical;low
IND19947;0,10;0,84;6;283;4;1;1;0;technical;low
IND02513;0,42;0,48;2;129;3;0;1;0;management;low
IND14819;0,74;1,00;4;249;5;0;1;0;IT;low
IND18272;0,73;0,87;5;257;5;0;1;0;IT;low
IND05552;0,09;0,96;6;245;4;0;1;0;IT;low
IND18930;0,45;0,53;2;155;3;0;1;0;IT;low
IND21059;0,11;0,80;6;256;4;0;1;0;IT;low
IND30847;0,37;0,47;2;152;3;0;1;0;product_mng;low
IND37054;0,84;0,99;4;267;5;0;1;0;product_mng;low
IND01497;0,41;0,46;2;151;3;0;1;0;product_mng;low
IND09083;0,76;0,92;4;239;5;0;1;0;product_mng;low
IND02261;0,11;0,87;6;306;4;0;1;0;IT;low
IND16957;0,84;0,88;4;263;5;1;1;0;marketing;low
IND17000;0,39;0,50;2;147;3;0;1;0;marketing;low
IND44713;0,11;0,91;6;278;4;0;1;0;marketing;low
IND21308;0,45;0,56;2;154;3;0;1;0;marketing;low
IND16549;0,37;0,52;2;143;3;0;1;0;marketing;low
IND16885;0,40;0,52;2;155;3;0;1;0;marketing;low
IND0303;0,39;0,48;2;160;3;0;1;0;sales;low
IND09693;0,11;0,80;6;304;4;0;1;0;accounting;low
IND15384;0,83;1,00;5;240;5;0;1;0;support;low
IND23381;0,11;0,92;6;305;4;0;1;0;technical;low
IND26259;0,39;0,50;2;136;3;0;1;0;management;low
IND14788;0,45;0,45;2;132;3;0;1;0;marketing;low
IND44000;0,10;0,95;7;301;4;0;1;0;marketing;low
IND14758;0,90;0,98;5;243;6;0;1;0;marketing;low
IND20741;0,45;0,51;2;147;3;0;1;0;sales;low
IND21140;0,79;0,89;5;239;5;0;1;0;sales;low
IND26885;0,90;0,99;5;260;5;0;1;0;sales;low
IND06026;0,11;0,84;7;296;4;0;1;0;sales;low
IND10990;0,43;0,55;2;129;3;0;1;0;sales;low
IND28377;0,31;0,54;5;132;5;0;1;0;sales;low
IND10806;0,32;0,50;2;135;5;0;1;0;sales;low
IND03259;0,45;0,57;2;158;3;0;1;0;sales;low
IND03963;0,81;0,99;4;259;5;0;1;0;sales;low
IND04181;0,41;0,46;2;160;3;0;1;1;sales;low
IND31430;0,11;0,78;7;278;4;0;1;0;sales;low
IND31870;0,10;0,88;6;284;4;0;1;0;sales;low
IND44113;0,70;0,53;2;274;4;0;1;0;sales;low
IND02033;0,54;0,74;4;164;2;0;1;0;sales;low
IND34753;0,41;0,48;2;148;3;0;1;0;sales;low
IND35044;0,38;0,50;2;140;3;0;1;0;sales;medium
IND17131;0,37;0,51;2;127;3;0;1;0;sales;medium
IND29549;0,11;0,85;6;308;5;0;1;0;sales;medium
IND06962;0,40;0,47;2;146;3;0;1;0;sales;medium
IND08956;0,10;0,84;6;261;4;0;1;0;accounting;medium
IND23874;0,89;0,99;5;257;5;0;1;0;accounting;medium
IND28320;0,11;0,80;6;285;4;0;1;0;accounting;medium
IND43812;0,36;0,55;2;141;3;0;1;0;hr;medium
IND02857;0,40;0,46;2;127;3;0;1;0;hr;medium
IND09513;0,09;0,85;6;297;4;0;1;0;hr;medium
IND33556;0,40;0,46;2;143;3;0;1;0;hr;medium
IND38080;0,37;0,55;2;152;3;0;1;0;technical;medium
IND43469;0,44;0,51;2;156;3;0;1;0;technical;high
IND13463;0,09;0,80;7;283;5;0;1;0;technical;low
IND42799;0,92;0,87;4;226;6;1;1;0;technical;medium
IND44570;0,74;0,91;4;232;5;0;1;0;technical;medium
IND33860;0,09;0,82;6;249;4;0;1;0;technical;medium
IND39257;0,89;0,95;4;275;5;0;1;0;technical;medium
IND28422;0,09;0,80;6;304;4;0;1;0;technical;low
IND12179;0,27;0,54;7;278;3;0;1;0;technical;low
IND16585;0,10;0,91;6;287;4;0;1;0;technical;low
IND25094;0,10;0,89;7;285;4;0;1;0;technical;low
IND18533;0,77;0,94;5;226;6;0;1;0;support;low
IND30817;0,90;0,82;5;259;5;0;1;0;support;low
IND06625;0,39;0,50;2;135;3;0;1;0;support;low
IND17330;0,76;1,00;5;219;5;0;1;0;support;low
IND26672;0,10;0,93;6;256;4;0;1;0;support;low
IND16687;0,87;0,90;5;254;6;0;1;0;support;low
IND19503;0,38;0,50;2;153;3;0;1;0;support;low
IND41222;0,77;0,99;5;228;5;0;1;0;support;low
IND07024;0,78;0,87;4;228;5;0;1;0;support;low
IND07912;0,44;0,50;2;128;3;0;1;0;support;low
IND28692;0,38;0,52;2;153;3;0;1;0;support;low
IND29058;0,43;0,46;2;156;3;0;1;0;technical;low
IND43494;0,39;0,50;4;294;3;0;1;0;technical;low
IND30367;0,88;1,00;5;219;5;0;1;0;technical;low
IND08292;0,45;0,46;2;153;3;0;1;0;management;low
IND27207;0,40;0,53;2;151;3;0;1;0;IT;low
IND16191;0,36;0,51;2;155;3;0;1;0;IT;low
IND0682;0,36;0,48;2;158;3;0;1;0;IT;low
IND28726;0,90;0,98;5;245;5;0;1;0;IT;low
IND05052;0,43;0,53;2;131;3;0;1;0;IT;low
IND31328;0,89;0,87;5;225;5;0;1;0;product_mng;low
IND01489;0,10;0,84;6;286;4;0;1;0;product_mng;low
IND06073;0,37;0,50;2;135;3;0;1;0;product_mng;low
IND30496;0,37;0,51;2;153;3;0;1;0;product_mng;low
IND41140;0,87;0,90;5;252;5;0;1;0;IT;low
IND08304;0,40;0,56;2;149;3;0;1;0;accounting;low
IND12729;0,90;0,97;4;258;5;0;1;0;accounting;low
IND20887;0,37;0,46;2;158;3;0;1;0;hr;low
IND35561;0,44;0,54;2;149;3;0;1;0;hr;low
IND42660;0,85;0,95;5;236;5;0;1;0;hr;low
IND24369;0,78;0,98;5;239;6;0;1;0;marketing;low
IND13224;0,42;0,47;2;159;3;0;1;0;marketing;low
IND14406;0,92;0,99;5;255;6;0;1;0;sales;low
IND34424;0,11;0,83;6;244;4;0;1;0;accounting;low
IND27347;0,42;0,56;2;134;3;0;1;0;support;low
IND35173;0,48;0,57;4;270;4;0;1;0;technical;low
IND38184;0,83;0,85;4;255;5;0;1;0;management;low
IND40084;0,40;0,53;2;151;3;0;1;0;marketing;low
IND06645;0,43;0,45;2;135;3;0;1;0;marketing;low
IND13460;0,43;0,53;2;146;3;0;1;0;marketing;low
IND29291;0,10;0,97;7;254;4;0;1;0;sales;low
IND42842;0,10;0,87;7;289;4;0;1;0;sales;low
IND10790;0,37;0,46;2;156;3;0;1;0;sales;low
IND36333;0,38;0,53;2;156;3;0;1;0;sales;low
IND09285;0,40;0,50;2;128;3;0;1;0;sales;low
IND04368;0,89;0,86;5;275;5;0;1;0;sales;low
IND16033;0,45;0,46;2;155;3;0;1;0;sales;low
IND18868;0,37;0,48;2;159;3;0;1;0;sales;low
IND17976;0,46;0,49;2;148;3;0;1;0;sales;low
IND31925;0,87;0,91;4;228;5;0;1;0;sales;low
IND0839;0,11;0,84;6;298;4;0;1;0;sales;low
IND36656;0,79;0,87;5;261;5;0;1;0;sales;low
IND38815;0,79;0,92;5;254;6;0;1;0;sales;low
IND05341;0,19;0,59;7;192;3;0;1;0;sales;low
IND20706;0,87;0,98;4;248;5;0;1;0;sales;low
IND29072;0,60;0,92;2;258;5;0;1;0;sales;low
IND37159;0,44;0,45;2;156;3;0;1;0;sales;medium
IND13032;0,11;0,81;6;266;4;1;1;0;sales;medium
IND19562;0,42;0,54;2;156;3;0;1;0;sales;medium
IND29613;0,88;0,88;5;232;5;1;1;0;accounting;medium
IND08344;0,11;0,84;6;287;4;0;1;0;accounting;medium
IND24283;0,46;0,46;2;154;3;0;1;0;accounting;medium
IND44438;0,82;0,97;5;263;5;0;1;0;hr;medium
IND30621;0,44;0,56;2;131;3;0;1;0;hr;medium
IND36430;0,11;0,78;6;260;4;0;1;0;hr;medium
IND0369;0,42;0,50;2;139;3;0;1;0;hr;medium
IND02505;0,84;0,93;4;251;5;0;1;0;technical;medium
IND36321;0,11;0,95;6;286;4;0;1;0;technical;medium
IND38100;0,45;0,53;2;129;3;0;1;0;technical;high
IND13212;0,38;0,56;2;156;3;0;1;0;technical;low
IND25228;0,38;0,86;6;139;6;0;1;0;technical;medium
IND35610;0,44;0,51;2;127;3;0;1;0;technical;medium
IND41403;0,11;0,84;6;251;4;0;1;0;technical;medium
IND44935;0,81;0,93;5;270;5;0;1;0;technical;medium
IND09041;0,09;0,96;6;296;4;0;1;0;technical;low
IND27858;0,11;0,90;6;254;4;0;1;0;technical;low
IND20480;0,81;0,95;5;238;6;0;1;0;technical;low
IND0818;0,10;0,97;6;267;4;1;1;0;support;low
IND10394;0,74;0,89;5;229;6;0;1;0;support;low
IND28413;0,09;0,78;6;254;4;0;1;0;support;low
IND28709;0,82;0,81;4;233;4;1;1;0;support;low
IND07271;0,10;0,98;6;268;4;0;1;0;support;low
IND07090;0,27;0,56;3;301;3;0;1;0;support;low
IND30375;0,83;0,92;5;267;6;0;1;0;support;low
IND19040;0,10;0,93;6;289;4;1;1;0;support;low
IND30483;0,38;0,47;2;144;3;0;1;0;support;low
IND40879;0,40;0,56;2;148;3;0;1;0;support;low
IND41938;0,11;0,83;6;306;4;0;1;0;support;low
IND07760;0,11;0,79;6;292;4;0;1;1;technical;low
IND03264;0,82;0,91;5;232;5;0;1;0;technical;low
IND06225;0,36;0,48;2;137;3;0;1;0;technical;low
IND35004;0,40;0,46;2;128;3;0;1;0;management;low
IND25762;0,87;0,84;5;231;5;0;1;0;IT;low
IND23892;0,41;0,49;2;146;3;0;1;0;IT;low
IND31584;0,11;0,91;6;308;4;1;1;0;IT;low
IND43337;0,10;0,93;6;253;4;0;1;0;IT;medium
IND12691;0,38;0,51;2;146;3;0;1;0;IT;medium
IND15509;0,39;0,55;2;156;3;0;1;0;product_mng;medium
IND24340;0,40;0,52;2;147;3;0;1;0;product_mng;medium
IND32788;0,45;0,48;2;136;3;0;1;0;product_mng;medium
IND03425;0,74;0,84;5;249;5;0;1;0;product_mng;medium
IND05837;0,45;0,55;2;151;3;0;1;0;IT;medium
IND35722;0,12;1,00;3;278;4;0;1;0;RandD;medium
IND23749;0,10;0,77;7;250;5;0;1;0;RandD;medium
IND048;0,37;0,55;2;127;3;0;1;0;RandD;medium
IND04733;0,89;0,87;5;255;5;0;1;0;RandD;medium
IND17963;0,45;0,47;2;135;3;0;1;0;RandD;medium
IND02462;0,37;0,46;2;149;3;0;1;0;marketing;high
IND25050;0,11;0,81;5;287;4;0;1;0;sales;low
IND33895;0,41;0,48;2;145;3;0;1;0;accounting;medium
IND36409;0,10;0,94;6;285;4;0;1;0;support;medium
IND38328;0,10;0,93;7;305;4;0;1;0;technical;medium
IND05005;0,11;0,95;7;300;4;0;1;0;management;medium
IND05284;0,40;0,54;2;139;3;0;1;0;marketing;low
IND31191;0,41;0,49;2;130;3;0;1;0;marketing;low
IND0636;0,10;0,81;6;268;4;0;1;0;marketing;low
IND09913;0,73;0,86;4;245;6;0;1;0;sales;low
IND45004;0,43;0,47;2;135;3;0;1;0;sales;low
IND21604;0,37;0,46;2;153;3;0;1;0;sales;low
IND17722;0,11;0,94;6;276;4;0;1;0;sales;low
IND35333;0,40;0,46;2;130;3;0;1;0;sales;low
IND36557;0,41;0,54;2;153;3;1;1;0;sales;low
IND21834;0,82;0,84;5;244;5;0;1;0;sales;low
IND41907;0,61;0,47;2;253;3;0;1;0;sales;low
IND31120;0,11;0,91;7;287;4;0;1;0;sales;low
IND01918;0,37;0,45;2;131;3;0;1;0;sales;low
IND20772;0,41;0,52;2;135;3;0;1;0;sales;low
IND08699;0,37;0,52;2;157;3;0;1;0;sales;low
IND31644;0,88;0,99;5;262;6;0;1;0;sales;low
IND37098;0,10;0,85;6;266;4;0;1;0;sales;low
IND35544;0,44;0,48;2;148;3;0;1;0;sales;low
IND18627;0,38;0,57;2;140;3;0;1;0;sales;low
IND30769;0,11;0,85;7;302;4;0;1;0;sales;low
IND33187;0,09;0,98;6;271;4;0;1;0;sales;low
IND07254;0,45;0,52;2;145;3;0;1;0;sales;medium
IND29466;0,10;0,81;6;290;4;0;1;0;accounting;medium
IND36017;0,45;0,47;2;151;3;0;1;0;accounting;medium
IND43579;0,77;0,87;5;266;5;0;1;0;accounting;medium
IND43393;0,44;0,51;2;140;3;0;1;0;hr;medium
IND02895;0,39;0,50;2;142;3;0;1;0;hr;medium
IND04984;0,10;0,91;6;246;4;0;1;0;hr;medium
IND11607;0,09;0,89;7;308;5;0;1;0;hr;medium
IND41347;0,37;0,47;2;141;3;0;1;0;technical;medium
IND02676;0,90;1,00;5;232;5;0;1;0;technical;medium
IND04698;0,41;0,56;2;143;3;0;1;0;technical;medium
IND20375;0,37;0,52;2;155;3;0;1;0;technical;medium
IND37284;0,10;0,86;6;278;4;0;1;0;technical;high
IND23482;0,81;1,00;4;253;5;0;1;0;technical;low
IND39285;0,11;0,80;6;282;4;0;1;0;technical;medium
IND04237;0,11;0,84;7;264;4;0;1;0;technical;medium
IND01864;0,40;0,46;2;149;3;0;1;0;technical;medium
IND02500;0,09;0,80;6;304;5;0;1;0;technical;medium
IND29143;0,48;0,93;3;219;6;0;1;0;technical;low
IND20937;0,91;0,91;4;262;6;0;1;0;support;low
IND05507;0,43;0,57;2;135;3;0;1;0;support;low
IND01;0,33;0,88;6;219;5;0;1;0;support;low
IND20035;0,41;0,57;2;136;3;0;1;0;support;low
IND06084;0,41;0,55;2;154;3;0;1;0;support;low
IND24666;0,37;0,54;2;149;3;0;1;0;support;low
IND25893;0,31;0,62;6;135;5;0;1;0;support;low
IND31280;0,09;0,91;6;275;4;0;1;0;support;low
IND41323;0,10;0,87;6;290;4;0;1;0;support;low
IND19003;0,76;0,90;4;263;5;0;1;0;support;low
IND09805;0,41;0,54;2;145;3;0;1;0;support;low
IND27257;0,72;0,96;5;267;5;0;1;0;technical;low
IND03850;0,40;0,50;2;141;3;1;1;0;technical;low
IND26902;0,91;0,87;4;235;5;0;1;0;technical;low
IND24156;0,10;0,83;6;258;4;0;1;0;management;low
IND37061;0,40;0,56;2;131;3;0;1;0;IT;low
IND38588;0,82;0,86;5;243;5;0;1;0;IT;low
IND03063;0,10;0,82;6;266;4;0;1;0;IT;low
IND13975;0,37;0,45;2;142;3;0;1;0;IT;low
IND40823;0,36;0,51;2;135;3;0;1;0;IT;low
IND01469;0,39;0,48;2;141;3;0;1;0;product_mng;medium
IND01656;0,36;0,57;2;142;3;0;1;0;product_mng;medium
IND12465;0,86;0,84;5;254;5;0;1;0;product_mng;medium
IND16382;0,73;0,99;5;262;5;0;1;0;product_mng;medium
IND17796;0,56;0,71;4;296;2;0;1;0;IT;medium
IND32278;0,44;0,56;2;158;3;0;1;0;accounting;medium
IND34555;0,31;0,56;4;238;2;0;1;0;accounting;medium
IND22783;0,77;0,93;4;231;5;0;1;0;hr;medium
IND0583;0,44;0,45;2;156;3;0;1;0;hr;medium
IND26226;0,38;0,46;2;145;3;0;1;0;hr;medium
IND37137;0,45;0,48;2;144;3;0;1;0;marketing;medium
IND13629;0,38;0,51;2;159;3;0;1;0;sales;medium
IND31613;0,36;0,48;2;156;3;0;1;0;accounting;high
IND38501;0,75;0,90;5;256;5;0;1;0;support;low
IND01958;0,10;0,93;6;298;4;0;1;0;technical;medium
IND10086;0,10;0,97;6;247;4;0;1;0;management;medium
IND24010;0,45;0,50;2;157;3;0;1;0;marketing;medium
IND27604;0,42;0,57;2;154;3;1;1;0;marketing;medium
IND27827;0,78;1,00;4;253;5;0;1;0;marketing;low
IND42944;0,45;0,55;2;148;3;0;1;0;sales;low
IND31899;0,84;1,00;4;261;5;0;1;0;sales;low
IND02723;0,11;0,93;6;282;4;0;1;0;sales;low
IND10009;0,42;0,56;2;133;3;0;1;0;sales;low
IND05076;0,45;0,46;2;128;3;0;1;0;sales;low
IND44741;0,46;0,57;2;139;3;0;1;0;sales;low
IND10776;0,09;0,79;6;293;5;0;1;0;sales;low
IND36436;0,87;0,83;4;265;6;0;1;0;sales;low
IND41623;0,10;0,87;6;250;4;0;1;0;sales;low
IND25674;0,91;1,00;5;251;6;0;1;0;sales;low
IND01773;0,76;0,92;4;246;5;0;1;0;sales;low
IND03668;0,74;1,00;5;275;5;0;1;0;sales;low
IND34514;0,92;0,93;5;240;5;0;1;0;sales;low
IND44563;0,76;0,87;5;245;5;0;1;0;sales;low
IND05806;0,47;0,50;4;254;4;0;1;0;sales;low
IND36010;0,73;0,99;5;241;5;0;1;0;sales;low
IND06087;0,09;0,94;6;257;4;0;1;0;sales;low
IND37459;0,91;0,92;4;246;5;0;1;0;sales;low
IND22464;0,82;0,98;4;233;5;0;1;0;sales;low
IND41760;0,28;0,45;6;218;4;0;1;0;accounting;low
IND37034;0,84;0,99;4;262;6;0;1;0;accounting;medium
IND18121;0,45;0,53;2;138;3;0;1;0;accounting;medium
IND33996;0,45;0,54;2;142;3;0;1;0;hr;medium
IND0350;0,91;0,97;5;233;5;0;1;0;hr;medium
IND35777;0,42;0,48;2;155;3;0;1;0;hr;medium
IND21927;0,82;1,00;4;229;6;0;1;0;hr;medium
IND36809;0,11;0,90;6;264;4;0;1;0;technical;medium
IND09677;0,42;0,53;3;199;4;0;1;0;technical;medium
IND08739;0,82;0,85;4;223;5;0;1;0;technical;medium
IND15989;0,09;0,96;6;268;4;0;1;0;technical;medium
IND38180;0,10;0,94;6;287;4;0;1;0;technical;medium
IND42344;0,86;1,00;5;257;5;0;1;0;technical;medium
IND08064;0,40;0,46;2;143;3;0;1;0;technical;high
IND37269;0,45;0,46;2;130;3;0;1;0;technical;low
IND42385;0,42;0,51;2;136;3;0;1;0;technical;medium
IND05142;0,74;0,92;4;261;5;0;1;0;technical;medium
IND36170;0,55;0,60;3;180;4;0;1;0;technical;medium
IND36678;0,37;0,45;2;126;3;0;1;0;support;medium
IND05300;0,41;0,52;2;127;3;1;1;0;support;low
IND36918;0,89;0,65;5;195;6;0;1;0;support;low
IND15685;0,41;0,57;2;160;3;0;1;0;support;low
IND18291;0,44;0,51;2;150;3;0;1;0;support;low
IND39292;0,87;0,84;4;264;6;0;1;0;support;low
IND16653;0,10;0,84;6;309;4;0;1;0;support;low
IND23120;0,41;0,47;2;135;3;0;1;0;support;low
IND30329;0,11;0,85;6;261;4;0;1;0;support;low
IND02012;0,43;0,53;2;160;3;0;1;0;support;low
IND14328;0,77;0,90;4;237;5;0;1;0;support;low
IND19845;0,41;0,52;2;136;3;0;1;0;technical;low
IND27485;0,41;0,48;2;139;3;0;1;0;technical;low
IND06978;0,36;0,78;2;151;4;0;1;0;technical;low
IND20346;0,77;1,00;5;229;5;0;1;0;management;low
IND26050;0,81;0,98;5;245;5;0;1;0;IT;low
IND12047;0,39;0,54;2;127;3;0;1;0;IT;low
IND23467;0,09;0,94;6;283;5;0;1;0;IT;low
IND05879;0,44;0,46;2;143;3;0;1;0;IT;low
IND32980;0,10;0,84;5;298;4;0;1;0;IT;low
IND04065;0,36;0,48;2;159;3;0;1;0;product_mng;low
IND08523;0,81;0,92;5;239;5;0;1;0;product_mng;low
IND18383;0,81;0,90;4;226;5;0;1;0;product_mng;medium
IND10597;0,85;0,98;5;248;5;0;1;0;product_mng;medium
IND21832;0,10;0,87;6;286;4;0;1;0;IT;medium
IND42704;0,37;0,54;2;145;3;0;1;0;RandD;medium
IND24889;0,09;0,97;7;254;4;1;1;0;RandD;medium
IND42455;0,44;0,53;2;127;3;0;1;0;RandD;medium
